Estado de contrato;Poder adjudicador;Entidad impulsora;Código de contrato;Título;Tipo de contrato;Adjudicatario;Importe de adjudicación con IVA;Fecha de formalización
Ejecución;Gobierno Vasco;EUSTAT - Instituto Vasco de Estadística;CM 14/2016335_00000000000000000000001;Desarrollo de nuevas funcionalidades para la aplicación de carga y validación de la base de datos de enseñanza universitaria;Servicios;SERIKAT CONSULTORÍA E INFORMÁTICA, S.A.;11966;07/04/2016
Ejecución;Gobierno Vasco;Empleo y Políticas Sociales;M-051-DEPS2016326_00000000000000000000001;LA DIRECCIÓN DE OBRA Y COORDINACIÓN DE SEGURIDAD Y SALUD EN OBRA PARA EL DERRIBO DE INMUEBLES EN LA CALLE CARRANZA 1, 2, 3, Y 4 DE TXABARRI-EL SOL, EN SESTAO (BIZKAIA),;Servicios;MANUEL FAJA FANO ;6063;07/04/2016
Ejecución;Gobierno Vasco;Educación, Política Lingüística y Cultura;ISEI-01-2016328_00000000000000000000001;Investigación sobre la Influencia de la lengua de la prueba en el rendimiento en pruebas internacionales. 4º de E. Primaria.;Servicios;ANÁLISIS E INVESTIGACIÓN, S.L.;19821;07/04/2016
Finalización;Ayuntamiento de Eibar;Ayuntamiento de Eibar;2016006179_00000000000000000000001;CONTRATACIÓN CON  ORGANIZACIONES CICLISTAS EUSKADI DE DOS ETAPAS DE LA 56ª EDICIÓN DE LA VUELTA AL PAÍS VASCO;Privados;ORGANIZACIONES CICLISTAS EUSKADI;121000;07/04/2016
Ejecución;Gobierno Vasco;EUSTAT - Instituto Vasco de Estadística;CM 15/2016335_00000000000000000000001;Mantenimiento de 11 licencias Mapinfo Pro para 2016;Suministros;STRATEGIC GRAPHIC SYSTEMS, S.L.;4233;07/04/2016
Ejecución;Gobierno Vasco;Hacienda y Finanzas;KM/2016/002327_00000000000000000000002;servicios técnicos, administrativos y gestión conducentes a la eficaz limpieza de varios edificios del Gobierno Vasco en Vitoria-Gasteiz (2016 y 2017) ;Servicios;LIMPIEZA Y MANTENIMIENTO IMPACTO, S.L.;40332;06/04/2016
Ejecución;Gobierno Vasco;Agencia Vasca del Agua;URA/014M/2016340_00000000000000000000001;PLAN DE COMUNICACIÓN DE LAS OBRAS PARA LA RECOGIDA Y DERIVACIÓN DE LAS AGUAS RESIDUALES DE LA MARGEN IZQUIERDA DE LA RÍA DE MUNDAKA A LA EDAR DE LAMIARAN;Servicios;NUEVA EUROPA DISEÑO, IMAGEN Y COMUNICACIÓN, S.L.;14947;06/04/2016
Ejecución;Gobierno Vasco;Medio Ambiente y Política Territorial;088P/2016331_00000000000000000000001;MANTENIMIENTO, MEJORA Y REPARACIÓN DE INSTALACIONES ELÉCTRICAS EN LOS PUERTOS DE BERMEO Y MUNDAKA;Servicios;ELEKTRIKA BASTERRETXEA, S.L.;17485;06/04/2016
Ejecución;Gobierno Vasco;Medio Ambiente y Política Territorial;084P/2016331_00000000000000000000001;DESARROLLO PILOTO PARA UNA HERRAMIENTA INFORMÁTICA DE ANÁLISIS DEL GASTO PÚBLICO EN EL TRANSPORTE PÚBLICO;Servicios;IDOM INGENIERÍA Y CONSULTORÍA, S.A.;21720;06/04/2016
Ejecución;Gobierno Vasco;Seguridad;S0082/2016329_00000000000000000000001;Suministro de colchones y ropa de cama;Suministros;EL CORTE INGLÉS, S.A.;11219;06/04/2016
Ejecución;Gobierno Vasco;Seguridad;E0084/2016329_00000000000000000000001;Servicio de recogida y almacenamiento de marihuana;Servicios;AERO-FERR NORTE, S.A.;21780;06/04/2016
Ejecución;Gobierno Vasco;Seguridad;E0078/2016329_00000000000000000000001;Servicio de traducción del inglés a castellano de manual para la U.P.C.;Servicios;ERCISA - AZAFATAS ERCILLA, S.A.;19602;06/04/2016
Ejecución;Gobierno Vasco;Seguridad;E0083/2016329_00000000000000000000001;Mantenimiento preventivo y correctivo de etilómetros para policías locales;Servicios;DRÄGER SAFETY HISPANIA, S.A.;12652;06/04/2016
Ejecución;Gobierno Vasco;Seguridad;S0081/2016329_00000000000000000000001;Suministro de material telefónico;Suministros;ONEDIRECT COMUNICACIONES, S.L.;21721;06/04/2016
Ejecución;Gobierno Vasco;Presidencia del Gobierno - Lehendakaritza;CM/DS/094/2016323_00000000000000000000001;organización de jornada de incorporación de la ciudadanía con discapacidad en la participación ciudadana online;Servicios;Usandizaga soluciones gráficas SL;13135;06/04/2016
Ejecución;Gobierno Vasco;Agencia Vasca del Agua;URA/015M/2016340_00000000000000000000001;TOMA DE DATOS HIDRÁULICOS EN LA RED DE SANEAMIENTO DE LA LOCALIDAD DE MANZANOS;Servicios;MOLLI Y ASOCIADOS, S.L.;6595;06/04/2016
Ejecución;Gobierno Vasco;Administración Pública y Justicia;M-088/2016 DAPJ324_00000000000000000000001;Suministro e instalación de destructoras de documentos en los PP.JJ. CAPV;Suministros;PENTER COMERCIAL, S.A.;10539;06/04/2016
Ejecución;Gobierno Vasco;Seguridad;S0083/2016329_00000000000000000000001;Suministro de un remolque furgón;Suministros;METALÚRGICAS ALZAGA, S.L.;3787;06/04/2016
Ejecución;Gobierno Vasco;Educación, Política Lingüística y Cultura;PREVENCION 2016/9328_00000000000000000000001;10 CURSOS DE HIGIENE POSTURAL. 2ª TANDA;Servicios;ERGOACTIV SPORT, S.L.;8800;06/04/2016
Ejecución;EJIE, S.A. - Sociedad Informática del Gobierno Vasco;EJIE-Sociedad Informática del Gobierno Vasco;007/2016181_00000000000000000000001;Contratación de los servicios de un nuevo gestor de recursos turísticos del Gobierno Vasco. EXPEDIENTE PREPARADO EXCLUSIVAMENTE PARA LICITACIÓN ELECTRÓNICA.;Servicios;BILBOMÁTICA, S.A.;53337;06/04/2016
Ejecución;Gobierno Vasco;Academia Vasca de Policía y Emergencias;179/16334_00000000000000000000001;Trabajos para terminación de puertas;Servicios;DISEÑO INTERIORISMO INFORMÁTICA OFICINAS, S.A.;3120;05/04/2016
Ejecución;Gobierno Vasco;Academia Vasca de Policía y Emergencias;183/16334_00000000000000000000001;Sustitución tubería ACS en dormitorios;Obras;ELECTROTÉCNICA DE URBINA, S.A.;17353;05/04/2016
Ejecución;Gobierno Vasco;Emakunde-Instituto Vasco de la Mujer;CM 16/2016336_00000000000000000000001;DISEÑO, IMPLEMENTACIÓN Y EVALUACIÓN DE UNA HERRAMIENTA PARA LA MONITORIZACIÓN DE LAS AGENCIAS DE PUBLICIDAD EN EUSKADI DESDE LA PERSPECTIVA DE GÉNERO;Servicios;UNA GESTION Y COMUNICACION  S. COOP. PEQ.;21429;05/04/2016
Ejecución;Gobierno Vasco;Presidencia del Gobierno - Lehendakaritza;CM/DS/100/2016323_00000000000000000000001;Traducción de 171 dictámenes;Servicios;HORI-HORI, S.A.;19266;05/04/2016
Ejecución;Gobierno Vasco;Hacienda y Finanzas;KM/2016/064/AURREK327_00000000000000000000001;Deposito de fianzas y registro de contratos de arrendamiento de fincas urbanas;Servicios;GRÁFICAS DOSBI;220;05/04/2016
Ejecución;Gobierno Vasco;Academia Vasca de Policía y Emergencias;178/16334_00000000000000000000001;Suministro tubo triturador;Suministros;HOSTECK;3871;05/04/2016
Ejecución;Gobierno Vasco;Academia Vasca de Policía y Emergencias;182/16334_00000000000000000000001;Insatalación de tubería en Budokan;Servicios;FONTANERIA RESA, S. C.;14730;05/04/2016
Ejecución;Gobierno Vasco;Hacienda y Finanzas;KM/2016/066/AURREK327_00000000000000000000001;Bases para el suelo comun de un discurso compartido sobre el euskera - euskera y bilingüe;Servicios;GRÁFICAS IRUDI, S.L.;603;05/04/2016
Ejecución;Gobierno Vasco;Empleo y Políticas Sociales;F-002-DEPS2016326_00000000000000000000001;SERVICIOS DE TRADUCCIÓN E INTERPRETACIÓN DEL IVAP.;Servicios;INSTITUTO VASCO DE ADMIMNISTRACIÓN PÚBLICA;7126;05/04/2016
Ejecución;UPV/EHU - Universidad del País Vasco;Gerencia ;PN 2/16367_00000000000000000000001;Servicio de prevención ajeno para la realización de diferentes pruebas médicas en Bilbao y Eibar destinadas a la plantilla de la universidad que quiera realizar dichas pruebas.;Servicios;PREVING CONSULTORES NORTE, S.L.;72600;05/04/2016
Ejecución;Gobierno Vasco;Empleo y Políticas Sociales;M-047-DEPS2016326_00000000000000000000001;LA REFORMA DEL ALUMBRADO PÚBLICO ESCALERAS MIRAFLORES A ORTUTXUETA MINA DEL MORRO EN BILBAO;Obras;TECUNI, S.A.;9215;04/04/2016
Ejecución;Gobierno Vasco;Salud;CM 084/2016330_00000000000000000000001;"Diseño y maquetación libro ""Estrategias de investigación e innovación en salud 2020""";Servicios;M. Begoña Paino Ortuzar;3727;04/04/2016
Ejecución;Gobierno Vasco;Empleo y Políticas Sociales;M-048-DEPS2016326_00000000000000000000001;LA EVALUACIÓN EX-ANTE DEL INSTRUMENTO FINANCIERO FEDER;Servicios;IKEI RESEARCH & CONSULTANCY, S.A.;20510;04/04/2016
Ejecución;Gobierno Vasco;Hacienda y Finanzas;KM/2016/062/AURREK327_00000000000000000000001;RESPETARLOS ES MEJORAR;Servicios;IMPRENTA R.G.M., S.A.;4595;04/04/2016
Ejecución;EJIE, S.A. - Sociedad Informática del Gobierno Vasco;EJIE-Sociedad Informática del Gobierno Vasco;005/2016181_00000000000000000000001;Contratación de los servicios de formación en gestión de expedientes de contratación. EXPEDIENTE PREPARADO EXCLUSIVAMENTE PARA LICITACIÓN ELECTRÓNICA.;Servicios;LKS, S. COOP.;16737;04/04/2016
Ejecución;EJIE, S.A. - Sociedad Informática del Gobierno Vasco;EJIE-Sociedad Informática del Gobierno Vasco;003/2016181_00000000000000000000001;Contratación de los servicios de gestión de contenidos de la web de elecciones en Euskadi (2016). EXPEDIENTE PREPARADO EXCLUSIVAMENTE PARA LICITACIÓN ELECTRÓNICA.;Servicios;SOLUCIONES INFORMÁTICAS SEVISAN, S.L.;102954;04/04/2016
Ejecución;Gobierno Vasco;Medio Ambiente y Política Territorial;04E-01/2016331_00000000000000000000001;Asistencia técnica a la redacción del proyecto de refuerzo del espaldón del dique de abrigo de Ondarroa.;Servicios;SENER, INGENIERÍA Y SISTEMAS, S.A.;35937;04/04/2016
Ejecución;Sociedad Pública de Gestión Ambiental, IHOBE, S.A.;IHOBE, S.A.;989425_00000000000000000000001;Trabajos de mantenimiento de la revegetación del vertedero y de la celda de seguridad de Argalario (Barakaldo);Servicios;ARBOLAN JARDINERÍA, S.L.;24712;04/04/2016
Ejecución;Gobierno Vasco;Administración Pública y Justicia;S-025-DAPJ-2015324_00000000000000000000003;SUMINISTRO DE MATERIAL DE ASEO PARA LO ÓRGANOS JUDICIALES DE LA COMUNIDAD AUTÓNOMA DE EUSKADI.;Suministros;CELULOSAS VASCAS, S.L.;58425;04/04/2016
Ejecución;Gobierno Vasco;Administración Pública y Justicia;S-025-DAPJ-2015324_00000000000000000000001;SUMINISTRO DE MATERIAL DE ASEO PARA LO ÓRGANOS JUDICIALES DE LA COMUNIDAD AUTÓNOMA DE EUSKADI.;Suministros;CELULOSAS VASCAS, S.L.;89613;04/04/2016
