Fecha Modificación;Fecha Descarga;Cód. Puesto;Dotación;Puesto;Cód. Departamento-Organismo Autónomo;Departamento-Organismo Autónomo;Cód. Centro Orgánico;Centro Orgánico;Cód. Centro Destino;Centro Destino;Categoria Retributiva;Perfil Lingüístico;Fecha de Preceptividad;Importe retributivo
09/05/2016;09/02/2017;3459;8;CONDUCTOR DE DEPARTAMENTO;02;GOBERNANZA PÚBLICA Y AUTOGOBIERNO;020100000000;DIRECCIÓN DE SERVICIOS;000117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;6;01;31/10/1991;29.041,18
09/05/2016;09/02/2017;3054;1;CAJERO;02;GOBERNANZA PÚBLICA Y AUTOGOBIERNO;023200000000;DIRECCIÓN DE RELACIONES LABORALES;000117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;1;02;31/10/1992;22.155,70
09/05/2016;09/02/2017;3055;1;ENCARGADO COCINA;02;GOBERNANZA PÚBLICA Y AUTOGOBIERNO;023200000000;DIRECCIÓN DE RELACIONES LABORALES;000117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;6;02;;29.041,18
09/05/2016;09/02/2017;3063;1;CAMARERA;02;GOBERNANZA PÚBLICA Y AUTOGOBIERNO;023200000000;DIRECCIÓN DE RELACIONES LABORALES;000117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;1;01;31/03/1993;22.155,70
09/05/2016;09/02/2017;3063;2;CAMARERA;02;GOBERNANZA PÚBLICA Y AUTOGOBIERNO;023200000000;DIRECCIÓN DE RELACIONES LABORALES;000117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;1;01;31/03/1993;22.155,70
09/05/2016;09/02/2017;3063;3;CAMARERA;02;GOBERNANZA PÚBLICA Y AUTOGOBIERNO;023200000000;DIRECCIÓN DE RELACIONES LABORALES;000117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;1;01;31/03/1993;22.155,70
09/05/2016;09/02/2017;3063;4;CAMARERA;02;GOBERNANZA PÚBLICA Y AUTOGOBIERNO;023200000000;DIRECCIÓN DE RELACIONES LABORALES;000117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;1;01;31/10/2003;22.155,70
09/05/2016;09/02/2017;3063;6;CAMARERA;02;GOBERNANZA PÚBLICA Y AUTOGOBIERNO;023200000000;DIRECCIÓN DE RELACIONES LABORALES;000117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;1;01;31/10/2003;22.155,70
09/05/2016;09/02/2017;3063;7;CAMARERA;02;GOBERNANZA PÚBLICA Y AUTOGOBIERNO;023200000000;DIRECCIÓN DE RELACIONES LABORALES;000117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;1;01;31/03/2007;22.155,70
09/05/2016;09/02/2017;3064;1;COCINERO;02;GOBERNANZA PÚBLICA Y AUTOGOBIERNO;023200000000;DIRECCIÓN DE RELACIONES LABORALES;000117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;3;01;;24.938,08
09/05/2016;09/02/2017;3064;3;COCINERO;02;GOBERNANZA PÚBLICA Y AUTOGOBIERNO;023200000000;DIRECCIÓN DE RELACIONES LABORALES;000117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;3;01;;24.938,08
09/05/2016;09/02/2017;3058;1;RESPONSABLE GESTION Y MANTENIMIENTO DE R;02;GOBERNANZA PÚBLICA Y AUTOGOBIERNO;024100000000;DIRECCIÓN DE INFORMÁTICA Y TELECOMUNIC;000117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;10;02;31/10/2015;36.704,96
09/05/2016;09/02/2017;3056;1;RESP. MANTENIMIENTO DE EDIFICIOS VITORIA;02;GOBERNANZA PÚBLICA Y AUTOGOBIERNO;024200000000;DIRECCIÓN DE RECURSOS GENERALES;000117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;9;02;31/03/2014;34.657,56
09/05/2016;09/02/2017;3057;1;RESPONSABLE DE MANTENIMIENTO;02;GOBERNANZA PÚBLICA Y AUTOGOBIERNO;024200000000;DIRECCIÓN DE RECURSOS GENERALES;000117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;9;02;31/03/2014;34.657,56
09/05/2016;09/02/2017;3059;1;RESPONSABLE IMPRENTA;02;GOBERNANZA PÚBLICA Y AUTOGOBIERNO;024200000000;DIRECCIÓN DE RECURSOS GENERALES;000117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;9;02;31/03/1994;34.657,56
09/05/2016;09/02/2017;3061;10;TECNICO DE MANTENIMIENTO;02;GOBERNANZA PÚBLICA Y AUTOGOBIERNO;024200000000;DIRECCIÓN DE RECURSOS GENERALES;000117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;6;02;31/10/2013;29.041,18
09/05/2016;09/02/2017;3061;3;TECNICO DE MANTENIMIENTO;02;GOBERNANZA PÚBLICA Y AUTOGOBIERNO;024200000000;DIRECCIÓN DE RECURSOS GENERALES;000117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;6;02;;29.041,18
09/05/2016;09/02/2017;3061;4;TECNICO DE MANTENIMIENTO;02;GOBERNANZA PÚBLICA Y AUTOGOBIERNO;024200000000;DIRECCIÓN DE RECURSOS GENERALES;000117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;6;02;;29.041,18
09/05/2016;09/02/2017;3061;5;TECNICO DE MANTENIMIENTO;02;GOBERNANZA PÚBLICA Y AUTOGOBIERNO;024200000000;DIRECCIÓN DE RECURSOS GENERALES;000117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;6;02;;29.041,18
09/05/2016;09/02/2017;3061;7;TECNICO DE MANTENIMIENTO;02;GOBERNANZA PÚBLICA Y AUTOGOBIERNO;024200000000;DIRECCIÓN DE RECURSOS GENERALES;000117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;6;02;;29.041,18
09/05/2016;09/02/2017;3062;1;AUXILIAR IMPRENTA;02;GOBERNANZA PÚBLICA Y AUTOGOBIERNO;024200000000;DIRECCIÓN DE RECURSOS GENERALES;000117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;5;01;31/10/1993;27.557,48
09/05/2016;09/02/2017;3062;2;AUXILIAR IMPRENTA;02;GOBERNANZA PÚBLICA Y AUTOGOBIERNO;024200000000;DIRECCIÓN DE RECURSOS GENERALES;000117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;5;01;31/03/2014;27.557,48
09/05/2016;09/02/2017;3065;1;CONDUCTOR;02;GOBERNANZA PÚBLICA Y AUTOGOBIERNO;024200000000;DIRECCIÓN DE RECURSOS GENERALES;000117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;4;01;31/10/1992;26.289,50
09/05/2016;09/02/2017;3067;1;ORDENANZA ALMACEN;02;GOBERNANZA PÚBLICA Y AUTOGOBIERNO;024200000000;DIRECCIÓN DE RECURSOS GENERALES;000117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;1;01;31/10/1991;22.155,70
09/05/2016;09/02/2017;3067;2;ORDENANZA ALMACEN;02;GOBERNANZA PÚBLICA Y AUTOGOBIERNO;024200000000;DIRECCIÓN DE RECURSOS GENERALES;000117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;1;01;31/10/1993;22.155,70
09/05/2016;09/02/2017;3067;3;ORDENANZA ALMACEN;02;GOBERNANZA PÚBLICA Y AUTOGOBIERNO;024200000000;DIRECCIÓN DE RECURSOS GENERALES;000117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;1;01;31/10/1994;22.155,70
09/05/2016;09/02/2017;3309;1;MECANICO ELECTRICISTA;02;GOBERNANZA PÚBLICA Y AUTOGOBIERNO;024200000000;DIRECCIÓN DE RECURSOS GENERALES;000117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;6;01;;29.041,18
09/05/2016;09/02/2017;3309;2;MECANICO ELECTRICISTA;02;GOBERNANZA PÚBLICA Y AUTOGOBIERNO;024200000000;DIRECCIÓN DE RECURSOS GENERALES;000117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;6;01;;29.041,18
09/05/2016;09/02/2017;3309;3;MECANICO ELECTRICISTA;02;GOBERNANZA PÚBLICA Y AUTOGOBIERNO;024200000000;DIRECCIÓN DE RECURSOS GENERALES;000117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;6;01;;29.041,18
09/05/2016;09/02/2017;3309;4;MECANICO ELECTRICISTA;02;GOBERNANZA PÚBLICA Y AUTOGOBIERNO;024200000000;DIRECCIÓN DE RECURSOS GENERALES;000117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;6;01;31/03/2014;29.041,18
09/05/2016;09/02/2017;3316;1;PERSONAL DE SEGURIDAD;02;GOBERNANZA PÚBLICA Y AUTOGOBIERNO;024200000000;DIRECCIÓN DE RECURSOS GENERALES;000755;GOBIERNO VASCO - BILBAO, GRAN VIA, 85;5;01;31/10/1991;27.557,48
09/05/2016;09/02/2017;3316;13;PERSONAL DE SEGURIDAD;02;GOBERNANZA PÚBLICA Y AUTOGOBIERNO;024200000000;DIRECCIÓN DE RECURSOS GENERALES;000117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;5;01;31/03/2007;27.557,48
09/05/2016;09/02/2017;3316;14;PERSONAL DE SEGURIDAD;02;GOBERNANZA PÚBLICA Y AUTOGOBIERNO;024200000000;DIRECCIÓN DE RECURSOS GENERALES;000755;GOBIERNO VASCO - BILBAO, GRAN VIA, 85;5;01;31/10/2003;27.557,48
09/05/2016;09/02/2017;3316;15;PERSONAL DE SEGURIDAD;02;GOBERNANZA PÚBLICA Y AUTOGOBIERNO;024200000000;DIRECCIÓN DE RECURSOS GENERALES;000117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;5;01;31/10/2003;27.557,48
09/05/2016;09/02/2017;3316;6;PERSONAL DE SEGURIDAD;02;GOBERNANZA PÚBLICA Y AUTOGOBIERNO;024200000000;DIRECCIÓN DE RECURSOS GENERALES;000117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;5;01;31/10/1991;27.557,48
09/05/2016;09/02/2017;3355;1;AYUDANTE DE CONDUCTOR;02;GOBERNANZA PÚBLICA Y AUTOGOBIERNO;024200000000;DIRECCIÓN DE RECURSOS GENERALES;000117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;2;01;;23.612,82
09/05/2016;09/02/2017;3453;1;AYUDANTE DE TALLER;02;GOBERNANZA PÚBLICA Y AUTOGOBIERNO;024200000000;DIRECCIÓN DE RECURSOS GENERALES;000117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;2;01;;23.612,82
09/05/2016;09/02/2017;3463;1;ADMINISTRATIVO DEL SERVICIO TERRITORIAL;02;GOBERNANZA PÚBLICA Y AUTOGOBIERNO;024200000000;DIRECCIÓN DE RECURSOS GENERALES;000156;GOBIERNO VASCO - DONOSTIA, ANDIA, 13;5;02;31/10/2002;27.557,48
09/05/2016;09/02/2017;3479;1;TECNICO RECURSOS GENERALES;02;GOBERNANZA PÚBLICA Y AUTOGOBIERNO;024200000000;DIRECCIÓN DE RECURSOS GENERALES;000117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;10;03;31/03/2014;36.704,96
09/05/2016;09/02/2017;3479;2;TECNICO RECURSOS GENERALES;02;GOBERNANZA PÚBLICA Y AUTOGOBIERNO;024200000000;DIRECCIÓN DE RECURSOS GENERALES;000117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;10;03;31/03/2008;36.704,96
09/05/2016;09/02/2017;3479;3;TECNICO RECURSOS GENERALES;02;GOBERNANZA PÚBLICA Y AUTOGOBIERNO;024200000000;DIRECCIÓN DE RECURSOS GENERALES;000117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;10;03;31/03/2014;36.704,96
09/05/2016;09/02/2017;3481;1;RESPONSABLE TALLER DE PARQUE MOVIL;02;GOBERNANZA PÚBLICA Y AUTOGOBIERNO;024200000000;DIRECCIÓN DE RECURSOS GENERALES;000117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;9;02;31/03/2014;34.657,56
09/05/2016;09/02/2017;3543;1;TECNICO RECURSOS GENERALES (AUDIOVISUALE;02;GOBERNANZA PÚBLICA Y AUTOGOBIERNO;024200000000;DIRECCIÓN DE RECURSOS GENERALES;000156;GOBIERNO VASCO - DONOSTIA, ANDIA, 13;7;02;;30.499,70
09/05/2016;09/02/2017;3543;2;TECNICO RECURSOS GENERALES (AUDIOVISUALE;02;GOBERNANZA PÚBLICA Y AUTOGOBIERNO;024200000000;DIRECCIÓN DE RECURSOS GENERALES;000755;GOBIERNO VASCO - BILBAO, GRAN VIA, 85;7;02;31/03/2014;30.499,70
09/05/2016;09/02/2017;3459;12;CONDUCTOR DE DEPARTAMENTO;03;DESARROLLO ECONÓMICO E INFRAESTRUCTURAS;030200000000;DIRECCIÓN DE SERVICIOS;000117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;6;01;31/10/1991;29.041,18
09/05/2016;09/02/2017;3459;13;CONDUCTOR DE DEPARTAMENTO;03;DESARROLLO ECONÓMICO E INFRAESTRUCTURAS;030200000000;DIRECCIÓN DE SERVICIOS;000117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;6;01;31/03/2014;29.041,18
09/05/2016;09/02/2017;3459;23;CONDUCTOR DE DEPARTAMENTO;03;DESARROLLO ECONÓMICO E INFRAESTRUCTURAS;030200000000;DIRECCIÓN DE SERVICIOS;000117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;6;01;31/10/1991;29.041,18
09/05/2016;09/02/2017;3037;1;MECANICO SUPERVISOR;03;DESARROLLO ECONÓMICO E INFRAESTRUCTURAS;030210000000;DELEGACION TERRITORIAL DE ALAVA;001097;GOBIERNO VASCO - GASTEIZ, SAMANIEGO, 2 Y 6;9;01;;34.657,56
09/05/2016;09/02/2017;3036;1;MECANICO INSPECTOR;03;DESARROLLO ECONÓMICO E INFRAESTRUCTURAS;030220000000;DELEGACION TERRITORIAL DE GIPUZKOA;000427;GOBIERNO VASCO - DONOSTIA, EASO, 10;9;01;31/03/2014;34.657,56
09/05/2016;09/02/2017;3037;2;MECANICO SUPERVISOR;03;DESARROLLO ECONÓMICO E INFRAESTRUCTURAS;030220000000;DELEGACION TERRITORIAL DE GIPUZKOA;000427;GOBIERNO VASCO - DONOSTIA, EASO, 10;9;01;;34.657,56
09/05/2016;09/02/2017;3455;1;AUXILIAR ADMINISTRATIVO;03;DESARROLLO ECONÓMICO E INFRAESTRUCTURAS;030220000000;DELEGACION TERRITORIAL DE GIPUZKOA;000427;GOBIERNO VASCO - DONOSTIA, EASO, 10;5;02;31/03/2002;27.557,48
09/05/2016;09/02/2017;3037;3;MECANICO SUPERVISOR;03;DESARROLLO ECONÓMICO E INFRAESTRUCTURAS;030230000000;DELEGACION TERRITORIAL DE BIZKAIA;000592;GOBIERNO VASCO - BILBAO, GENERAL CONCHA, 23;9;01;;34.657,56
09/05/2016;09/02/2017;3037;4;MECANICO SUPERVISOR;03;DESARROLLO ECONÓMICO E INFRAESTRUCTURAS;030230000000;DELEGACION TERRITORIAL DE BIZKAIA;000592;GOBIERNO VASCO - BILBAO, GENERAL CONCHA, 23;9;01;31/03/2014;34.657,56
09/05/2016;09/02/2017;3444;6;AUXILIAR ADMINISTRATIVO;03;DESARROLLO ECONÓMICO E INFRAESTRUCTURAS;030230000000;DELEGACION TERRITORIAL DE BIZKAIA;000592;GOBIERNO VASCO - BILBAO, GENERAL CONCHA, 23;3;02;;24.938,08
09/05/2016;09/02/2017;3456;1;TECNICO SUSTANCIAS QUIMICAS;03;DESARROLLO ECONÓMICO E INFRAESTRUCTURAS;030230000000;DELEGACION TERRITORIAL DE BIZKAIA;000592;GOBIERNO VASCO - BILBAO, GENERAL CONCHA, 23;12;04;;41.910,58
09/05/2016;09/02/2017;3457;2;AUXILIAR ADMINISTRATIVO;03;DESARROLLO ECONÓMICO E INFRAESTRUCTURAS;030230000000;DELEGACION TERRITORIAL DE BIZKAIA;000592;GOBIERNO VASCO - BILBAO, GENERAL CONCHA, 23;4;02;;26.289,50
09/05/2016;09/02/2017;3457;3;AUXILIAR ADMINISTRATIVO;03;DESARROLLO ECONÓMICO E INFRAESTRUCTURAS;030230000000;DELEGACION TERRITORIAL DE BIZKAIA;000592;GOBIERNO VASCO - BILBAO, GENERAL CONCHA, 23;4;02;31/10/2008;26.289,50
09/05/2016;09/02/2017;3465;1;ADMINISTRATIVO DE ATENCION AL CIUDADANO;03;DESARROLLO ECONÓMICO E INFRAESTRUCTURAS;030230000000;DELEGACION TERRITORIAL DE BIZKAIA;000592;GOBIERNO VASCO - BILBAO, GENERAL CONCHA, 23;5;02;31/03/2003;27.557,48
09/05/2016;09/02/2017;3541;1;ADMINISTRATIVO/A B;03;DESARROLLO ECONÓMICO E INFRAESTRUCTURAS;030230000000;DELEGACION TERRITORIAL DE BIZKAIA;000592;GOBIERNO VASCO - BILBAO, GENERAL CONCHA, 23;6;02;;29.041,18
09/05/2016;09/02/2017;3458;1;ASESOR JURIDICO;03;DESARROLLO ECONÓMICO E INFRAESTRUCTURAS;032200000000;DIR. ENERGÍA, MINAS Y ADMON. INDUSTRIAL;000117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;12;04;;41.910,58
09/05/2016;09/02/2017;3486;1;TECNICO AYUDAS FEOGA;03;DESARROLLO ECONÓMICO E INFRAESTRUCTURAS;033200000000;DIR. AGRICULTURA Y GANADERÍA;000117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;10;04;;36.704,96
09/05/2016;09/02/2017;3487;1;ADMINISTRATIVO;03;DESARROLLO ECONÓMICO E INFRAESTRUCTURAS;033200000000;DIR. AGRICULTURA Y GANADERÍA;000117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;7;03;31/10/2006;30.499,70
09/05/2016;09/02/2017;3024;1;JEFE GRUPO INSPECTOR PESCA;03;DESARROLLO ECONÓMICO E INFRAESTRUCTURAS;033300000000;DIR. PESCA Y ACUICULTURA;000427;GOBIERNO VASCO - DONOSTIA, EASO, 10;10;02;31/03/2000;36.704,96
09/05/2016;09/02/2017;3444;7;AUXILIAR ADMINISTRATIVO;03;DESARROLLO ECONÓMICO E INFRAESTRUCTURAS;033300000000;DIR. PESCA Y ACUICULTURA;000427;GOBIERNO VASCO - DONOSTIA, EASO, 10;3;02;31/10/2007;24.938,08
09/05/2016;09/02/2017;3500;1;INSPECTOR DE PESCA;03;DESARROLLO ECONÓMICO E INFRAESTRUCTURAS;033300000000;DIR. PESCA Y ACUICULTURA;000057;SERVICIO DE INSPECCION PESQUERA;8;02;31/03/2000;32.422,88
09/05/2016;09/02/2017;3500;2;INSPECTOR DE PESCA;03;DESARROLLO ECONÓMICO E INFRAESTRUCTURAS;033300000000;DIR. PESCA Y ACUICULTURA;000427;GOBIERNO VASCO - DONOSTIA, EASO, 10;8;02;31/10/1997;32.422,88
09/05/2016;09/02/2017;3501;1;INSPECTOR DE PESCA;03;DESARROLLO ECONÓMICO E INFRAESTRUCTURAS;033300000000;DIR. PESCA Y ACUICULTURA;000057;SERVICIO DE INSPECCION PESQUERA;8;02;31/10/2003;32.422,88
09/05/2016;09/02/2017;3501;4;INSPECTOR DE PESCA;03;DESARROLLO ECONÓMICO E INFRAESTRUCTURAS;033300000000;DIR. PESCA Y ACUICULTURA;000427;GOBIERNO VASCO - DONOSTIA, EASO, 10;8;02;31/03/2000;32.422,88
09/05/2016;09/02/2017;3338;1;CABO DE GUARDAMUELLES;03;DESARROLLO ECONÓMICO E INFRAESTRUCTURAS;034100000000;DIR. DE INFRAESTRUCTURAS DEL TRANSPORTE;000176;SERVICIO DE PUERTOS DE ONDARROA;9;01;31/10/2005;34.657,56
09/05/2016;09/02/2017;3338;2;CABO DE GUARDAMUELLES;03;DESARROLLO ECONÓMICO E INFRAESTRUCTURAS;034100000000;DIR. DE INFRAESTRUCTURAS DEL TRANSPORTE;000327;SERVICIO DE PUERTOS DE BERMEO;9;01;31/03/2003;34.657,56
09/05/2016;09/02/2017;3338;3;CABO DE GUARDAMUELLES;03;DESARROLLO ECONÓMICO E INFRAESTRUCTURAS;034100000000;DIR. DE INFRAESTRUCTURAS DEL TRANSPORTE;000133;SERVICIO DE PUERTOS DE GETARIA;9;01;31/03/2003;34.657,56
09/05/2016;09/02/2017;3339;3;GUARDAMUELLES DE PUERTO;03;DESARROLLO ECONÓMICO E INFRAESTRUCTURAS;034100000000;DIR. DE INFRAESTRUCTURAS DEL TRANSPORTE;000176;SERVICIO DE PUERTOS DE ONDARROA;4;01;31/03/2003;26.289,50
09/05/2016;09/02/2017;3339;6;GUARDAMUELLES DE PUERTO;03;DESARROLLO ECONÓMICO E INFRAESTRUCTURAS;034100000000;DIR. DE INFRAESTRUCTURAS DEL TRANSPORTE;000008;SERVICIO DE PUERTOS;4;01;31/03/2003;26.289,50
09/05/2016;09/02/2017;3339;7;GUARDAMUELLES DE PUERTO;03;DESARROLLO ECONÓMICO E INFRAESTRUCTURAS;034100000000;DIR. DE INFRAESTRUCTURAS DEL TRANSPORTE;000008;SERVICIO DE PUERTOS;4;01;31/03/2003;26.289,50
09/05/2016;09/02/2017;3339;8;GUARDAMUELLES DE PUERTO;03;DESARROLLO ECONÓMICO E INFRAESTRUCTURAS;034100000000;DIR. DE INFRAESTRUCTURAS DEL TRANSPORTE;000327;SERVICIO DE PUERTOS DE BERMEO;4;01;31/10/2011;26.289,50
09/05/2016;09/02/2017;3343;1;OFICIAL DE SEGUNDA;03;DESARROLLO ECONÓMICO E INFRAESTRUCTURAS;034100000000;DIR. DE INFRAESTRUCTURAS DEL TRANSPORTE;001018;SERVICIO DE PUERTOS DE LEKEITIO;3;01;31/10/2005;24.938,08
09/05/2016;09/02/2017;3344;10;PEON;03;DESARROLLO ECONÓMICO E INFRAESTRUCTURAS;034100000000;DIR. DE INFRAESTRUCTURAS DEL TRANSPORTE;000133;SERVICIO DE PUERTOS DE GETARIA;1;01;31/03/2014;22.155,70
09/05/2016;09/02/2017;3344;2;PEON;03;DESARROLLO ECONÓMICO E INFRAESTRUCTURAS;034100000000;DIR. DE INFRAESTRUCTURAS DEL TRANSPORTE;000176;SERVICIO DE PUERTOS DE ONDARROA;1;01;;22.155,70
09/05/2016;09/02/2017;3344;3;PEON;03;DESARROLLO ECONÓMICO E INFRAESTRUCTURAS;034100000000;DIR. DE INFRAESTRUCTURAS DEL TRANSPORTE;000176;SERVICIO DE PUERTOS DE ONDARROA;1;01;31/03/2014;22.155,70
09/05/2016;09/02/2017;3344;4;PEON;03;DESARROLLO ECONÓMICO E INFRAESTRUCTURAS;034100000000;DIR. DE INFRAESTRUCTURAS DEL TRANSPORTE;000176;SERVICIO DE PUERTOS DE ONDARROA;1;01;;22.155,70
09/05/2016;09/02/2017;3344;5;PEON;03;DESARROLLO ECONÓMICO E INFRAESTRUCTURAS;034100000000;DIR. DE INFRAESTRUCTURAS DEL TRANSPORTE;000037;SERVICIO DE PUERTOS DE PLENCIA;1;01;;22.155,70
09/05/2016;09/02/2017;3344;6;PEON;03;DESARROLLO ECONÓMICO E INFRAESTRUCTURAS;034100000000;DIR. DE INFRAESTRUCTURAS DEL TRANSPORTE;001018;SERVICIO DE PUERTOS DE LEKEITIO;1;01;;22.155,70
09/05/2016;09/02/2017;3344;7;PEON;03;DESARROLLO ECONÓMICO E INFRAESTRUCTURAS;034100000000;DIR. DE INFRAESTRUCTURAS DEL TRANSPORTE;001128;SERVICIO DE PUERTOS DE HONDARRIBIA;1;01;;22.155,70
09/05/2016;09/02/2017;3344;8;PEON;03;DESARROLLO ECONÓMICO E INFRAESTRUCTURAS;034100000000;DIR. DE INFRAESTRUCTURAS DEL TRANSPORTE;000008;SERVICIO DE PUERTOS;1;01;;22.155,70
09/05/2016;09/02/2017;3344;9;PEON;03;DESARROLLO ECONÓMICO E INFRAESTRUCTURAS;034100000000;DIR. DE INFRAESTRUCTURAS DEL TRANSPORTE;000133;SERVICIO DE PUERTOS DE GETARIA;1;01;31/03/2014;22.155,70
09/05/2016;09/02/2017;3356;1;OFICIAL DE PRIMERA ADMINISTRATIVO;03;DESARROLLO ECONÓMICO E INFRAESTRUCTURAS;034100000000;DIR. DE INFRAESTRUCTURAS DEL TRANSPORTE;000176;SERVICIO DE PUERTOS DE ONDARROA;5;02;31/03/2000;27.557,48
09/05/2016;09/02/2017;3459;15;CONDUCTOR DE DEPARTAMENTO;04;EMPLEO Y POLÍTICAS SOCIALES;040200000000;DIRECCIÓN DE SERVICIOS;000117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;6;01;;29.041,18
09/05/2016;09/02/2017;3458;2;ASESOR JURIDICO;04;EMPLEO Y POLÍTICAS SOCIALES;042200000000;DIR. DE POLÍT. FAM. Y DESAR. COMUNITAR.;000117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;12;04;;41.910,58
